,Close
2014-01-06/2014-01-12,13.352666664123536
2014-01-13/2014-01-19,13.207333374023438
2014-01-20/2014-01-26,12.994666481018067
2014-01-27/2014-02-02,12.60444450378418
2014-02-03/2014-02-09,12.56400032043457
2014-02-10/2014-02-16,12.791999816894531
2014-02-17/2014-02-23,13.054000091552734
2014-02-24/2014-03-02,12.874444484710693
2014-03-03/2014-03-09,13.313333320617676
2014-03-10/2014-03-16,13.157999801635743
2014-03-17/2014-03-23,12.717333221435547
2014-03-24/2014-03-30,12.513333320617676
2014-03-31/2014-04-06,12.162666702270508
2014-04-07/2014-04-13,11.676000213623047
2014-04-14/2014-04-20,11.552666854858398
2014-04-21/2014-04-27,12.06866683959961
2014-04-28/2014-05-04,12.232000160217286
2014-05-05/2014-05-11,12.186666679382324
2014-05-12/2014-05-18,12.143333435058594
2014-05-19/2014-05-25,12.071333312988282
2014-05-26/2014-06-01,12.45888884862264
2014-06-02/2014-06-08,12.619333457946777
2014-06-09/2014-06-15,12.323999977111816
2014-06-16/2014-06-22,12.466666793823242
2014-06-23/2014-06-29,12.692666625976562
2014-06-30/2014-07-06,13.165332984924316
2014-07-07/2014-07-13,13.030666732788086
2014-07-14/2014-07-20,13.477999877929687
2014-07-21/2014-07-27,13.882666778564452
2014-07-28/2014-08-03,14.183333015441894
2014-08-04/2014-08-10,13.91866683959961
2014-08-11/2014-08-17,13.995999908447265
2014-08-18/2014-08-24,14.205999946594238
2014-08-25/2014-08-31,14.53799991607666
2014-09-01/2014-09-07,14.440666580200196
2014-09-08/2014-09-14,14.451333236694335
2014-09-15/2014-09-21,14.607333183288574
2014-09-22/2014-09-28,14.2
2014-09-29/2014-10-05,14.103333282470704
2014-10-06/2014-10-12,13.895999908447266
2014-10-13/2014-10-19,13.29666690826416
2014-10-20/2014-10-26,13.669333457946777
2014-10-27/2014-11-02,14.140555540720621
2014-11-03/2014-11-09,14.58266658782959
2014-11-10/2014-11-16,14.660000419616699
2014-11-17/2014-11-23,14.663999938964844
2014-11-24/2014-11-30,14.91933307647705
2014-12-01/2014-12-07,15.1
2014-12-08/2014-12-14,15.436000061035156
2014-12-15/2014-12-21,15.685333251953125
2014-12-22/2014-12-28,16.307333755493165
